collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,occurrence_no,pubyr,type_specimen,type_body_part,collection.reference_no,10_my_bin,environment
111558,M. Clapham,CC BY,n. gen.,Paradunstania,n. sp.,affinis,,,,,955774,1918,GSQI147,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassagrion,n. sp.,australiense,,,,,959847,1922,GSQI290,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Tillyardiopsis,n. sp.,tuberculata,,,,,1191156,1923,GSQ 133,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Eurymelidium,n. sp.,australe,,,,,956666,1919,GSQI248a,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Simmondsia,n. sp.,subpiriformis,,,,,1191135,1923,GSQ 135,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Mesopsyche,n. sp.,superba,n. gen.,Aristopsyche,n. sp.,superba,956130,1919,GSQI148,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesodiphthera,n. sp.,prosboloides,,,,,959850,1922,GSQI89,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Leioodes,n. sp.,planum,,,,,1191159,1923,GSQ 348,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Mesopsyche,n. sp.,triareolata,,,,,953895,1917,Coll. QGS 110,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Polysitum,n. sp.,punctatus,,,,,1191139,1923,GSQ 153,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Samaroblatta,n. sp.,intercalata,,,,,956611,1919,GSQI262,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesocixiodes,n. sp.,brachyclada,,,,,959854,1922,GSQI325,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesogereon,n. sp.,shepherdi,,,,,956746,1921,GSQI97,hindwing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Elaterium,n. sp.,punctomarginum,,,,,1191143,1923,GSQ 200,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Samaroblatta,n. sp.,reticulata,,,,,956615,1919,GSQI155a,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Triassocoris,n. sp.,scutulum,,,,,959894,1922,GSQI134,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,lata,,,,,1191123,1923,GSQ 132,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Gondwanoperlidium,,triassicum,,Stenoperlidium,,triassicum,1189636,1956,UQ C2244,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Reeveana,n. sp.,minor,,,,,1191147,1923,GSQ 297,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Chiliocycla,n. sp.,scolopoides,,,,,956657,1919,GSQI158,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Triassocoris,n. sp.,grandis,,,,,960239,1923,GSQI196,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,rugulosa,,,,,1191127,1923,GSQ 260,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesolobites,n. sp.,tuberculatus,,Lobites,n. sp.,tuberculatus,1191151,1923,GSQ 342,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassoscarta,n. sp.,subcostalis,,,,,956661,1919,GSQI116a,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosynoides,n. sp.,abnormis,,,,,1191131,1923,GSQ 243,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassolestes,n. sp.,epiophlebioides,,,,,955772,1918,GSQI205,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassophlebia,n. sp.,stigmatica,,,,,959846,1922,GSQI82,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Willcoxia,n. sp.,magnopunctata,,,,,1191155,1923,GSQ 261,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ipsvicia,n. sp.,acutipennis,,,,,956665,1919,GSQI204,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Leioodes,n. sp.,pygmaeum,,,,,1191158,1923,GSQ 287,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassocixius,n. sp.,australicus,,,,,956672,1919,GSQI267,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Protopsychopsis,n. sp.,venosa,,,,,953894,1917,Coll. QGS 160a,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Shepherdia,n. sp.,quadrivittata,,,,,1191138,1923,GSQ 130,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Austroblattula,n. sp.,ipsviciensis,,,,,956610,1919,GSQI105,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesocixiodes,n. sp.,orthoclada,,,,,959853,1922,GSQI318,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesogereon,n. sp.,affine,,,,,956745,1921,GSQI206,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Elaterites,n. sp.,transversus,,,,,1191142,1923,GSQ 159,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Samaroblatta,n. sp.,triassica,,,,,956614,1919,GSQI156,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassocoris,n. sp.,myersi,,,,,959893,1922,GSQI140 & GSQI167,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,intermedia,,,,,1191122,1923,GSQ 233,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Archeosmylus,,sp.,,,,,1189635,1953,,,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Reeveana,n. sp.,intermedia,,,,,1191146,1923,GSQ 201,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,?,Triassoblatta,n. sp.,intermedia,,,,,956618,1919,GSQI216,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Triassocoris,n. sp.,ovalis,,,,,960237,1923,GSQI129,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,ramocostata,,,,,1191126,1923,GSQ 225,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesolobites,n. sp.,trivittatus,,Lobites,n. sp.,trivittatus,1191150,1923,GSQ 164,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Mesodiphthera,n. sp.,grandis,,,,,956660,1919,GSQI213,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosynoides,n. sp.,alternata,,,,,1191130,1923,GSQ 149,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Perissophlebia,n. sp.,multiseriata,,,,,955771,1918,GSQI203,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassolocusta,n. sp.,leptoptera,,,,,959844,1922,GSQI99,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesothoris,n. sp.,tenuiclathrata,,,,,1191154,1923,GSQ 313,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ipsvicia,n. sp.,maculata,,,,,956664,1919,GSQI208,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Platycrossos,n. sp.,subtumidus,,,,,1191134,1923,GSQ 171,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Stereochorista,n. sp.,frustrata,,,,,956128,1919,GSQI218,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Polycytella,n. sp.,triassica,,,,,959849,1922,GSQI81,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Tillyardiopsis,n. sp.,granulata,,,,,1191157,1923,GSQ 289,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassojassus,n. sp.,proavitus,,,,,956667,1919,GSQI191a,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Grammositum,n. sp.,bilineatus,,,,,1191137,1923,GSQ 136,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Archepsychops,n. sp.,triassica,,,,,956132,1919,GSQI137,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Mesocixiodes,n. sp.,termioneura,,,,,959852,1922,GSQI88,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Apheloodes,n. sp.,obliquum,,,,,1191161,1923,GSQ 143,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesogereon,n. sp.,compressum,,,,,956744,1921,GSQI144,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Archipanorpa,n. sp.,magnifica,,,,,953897,1917,Coll. QGS 106a,hindwing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Elaterites,n. sp.,subulatus,,,,,1191141,1923,GSQ 263,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Samaroblatta,n. sp.,jonesi,,,,,956613,1919,GSQI157,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ipsviciopsis,n. sp.,magna,,,,,959891,1922,GSQI93,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,parva,,,,,1191121,1923,GSQ 312,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Proparagryllacris,n. sp.,crassifemur,,,,,1189633,1956,AM F39251,exoskeleton,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Reeveana,n. sp.,major,,,,,1191145,1923,GSQ 251,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Triassoblatta,n. sp.,insignita,,,,,956617,1919,GSQI124,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassopsychops,n. sp.,superba,,,,,959896,1922,GSQI284,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,curvata,,,,,1191125,1923,GSQ 274,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Tryoniopsis,n. sp.,granulata,,,,,1191149,1923,GSQ 161,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesoscytina,n. sp.,affinis,,,,,956659,1919,GSQI235,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Ademosyne,n. sp.,adunca,,,,,1191129,1923,GSQ 194,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Aeroplana,n. sp.,mirabilis,,,,,955770,1918,GSQI126,wing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Triassomantis,n. sp.,pygmaeus,,,,,959843,1922,GSQI86,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Mesothoris,n. sp.,quadripartita,,,,,1191153,1923,GSQ 349,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Ipsvicia,n. sp.,jonesi,,,,,956663,1919,GSQI122a,tegmen,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,,Platycrossos,n. sp.,ligulatus,,,,,1191133,1923,GSQ 268,elytra,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Dunstaniopsis,n. sp.,triassica,,,,,955775,1918,GSQI107,forewing,36514,Triassic 3,lacustrine indet.
111558,M. Clapham,CC BY,n. gen.,Apheloscyta,n. sp.,mesocampta,,,,,959848,1922,GSQI98,tegmen,36514,Triassic 3,lacustrine indet.
111680,M. Clapham,CC BY,,Eoglosselytrum,,perplexa,,,,,954956,1953,,,36532,Permian 4,pond
111681,M. Clapham,CC BY,n. gen.,Permoscarta,n. sp.,mitchelli,,,,,955006,1917,Mitchell Coll. 23,tegmen,36522,Permian 4,lacustrine indet.
111682,M. Clapham,CC BY,,Mesochorista,n. sp.,australica,,Permochorista,n. sp.,mitchelli,955009,1917,AM F39317,wing,36522,Permian 4,pond
111682,M. Clapham,CC BY,n. gen.,Mesochorista,n. sp.,australica,n. gen.,Permochorista,n. sp.,australica,955008,1917,AM F39318,wing,36522,Permian 4,pond
111682,M. Clapham,CC BY,n. gen.,Permofulgor,n. sp.,belmontensis,,,,,955007,1917,Mitchell Coll. 31,tegmen,36522,Permian 4,pond
111683,M. Clapham,CC BY,,Notoblattites,n. sp.,wianamattensis,,,,,955010,1917,Mitchell Coll. 3,tegmen,36522,Triassic 2,pond
111683,M. Clapham,CC BY,n. gen.,Adelidium,n. sp.,cordatum,,,,,955014,1917,Mitchell Coll. 17,elytra,36522,Triassic 2,pond
111683,M. Clapham,CC BY,,Elateridium,n. sp.,angustius,,,,,955013,1917,Mitchell Coll. 14,elytra,36522,Triassic 2,pond
111683,M. Clapham,CC BY,n. gen.,Mesopanorpodes,n. sp.,wianamattensis,n. gen.,Mesopanorpa,n. sp.,wianamattensis,955012,1917,AM F39326,wing,36522,Triassic 2,pond
111683,M. Clapham,CC BY,n. gen.,Triassopsylla,n. sp.,plecioides,,,,,955016,1917,Mitchell Coll. 4,wing,36522,Triassic 2,pond
111683,M. Clapham,CC BY,,Notoblattites,n. sp.,mitchelli,,,,,955011,1917,"Mitchell Coll. 1,2",wing,36522,Triassic 2,pond
111683,M. Clapham,CC BY,,Metrorhynchites,n. sp.,grandis,,,,,955015,1917,Mitchell Coll. 20,elytra,36522,Triassic 2,pond
111684,M. Clapham,CC BY,n. gen.,Belmontia,n. sp.,mitchelli,,,,,955023,1919,AM F28469,forewing,36536,Permian 4,pond
111685,M. Clapham,CC BY,,Ademosyne,n. sp.,wianamattensis,,,,,955024,1919,Mitchell Coll 10,elytra,36522,Triassic 2,pond
111710,M. Clapham,CC BY,n. gen.,Curticerus,n. sp.,venustus,,,,,1033525,2006,CNU-HE-LB2006083,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Habroblattula,n. sp.,drepanoides,,,,,1179750,2007,CNU-B-LB2006369-1,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Forticatinius,n. sp.,elegans,,,,,1104597,2007,CNU-C-LB2006012,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Venicoris,n. sp.,solaris,,,,,1181587,2012,CNU-HE-LB2006526,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Miroculus,n. sp.,laticephalus,,,,,936587,2011,CNU-HE-LB2006692,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Azygopelecinus,n. sp.,clavatus,,,,,936593,2010,CNU-HY-LB2006033,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Floricaudus,,multilocellus,,,,,959703,2011,CNU-HE-LB2008006,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Macaroblattula,n. sp.,ellipsoides,,,,,913966,2007,CNU-B-LB-2006379,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Curtelater,n. sp.,wui,,,,,1179343,2008,CNU-C-LB2006830,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Megapelecinus,n. sp.,changi,,,,,911111,2010,CNU-HY-LB2006036,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Priacma,n. sp.,renaria,,,,,1179741,2006,CNU-C-LB2006002,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Beipiaocoris,n. sp.,multifurcus,,,,,1179796,2008,CNU-HE-LB2006193,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Cretonanophyes,n. sp.,zherikhini,n. gen.,Leptocar,n. sp.,polychaetus,1010900,2007,CNU-C-LB2006101,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Oropentatoma,n. sp.,epichara,,,,,1104609,2013,CNU-HE-LB2006768,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Byssoidecerus,n. sp.,levigatus,,,,,1033521,2006,CNU-HE-LB2006025,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Orienicydnus,n. sp.,hongi,,,,,1104614,2007,CNU-HE-LB2006300,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Abropelecinus,n. sp.,annulatus,,,,,936592,2010,CNU-HYM-LB2006046,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Elisama,n. sp.,cuboides,,,,,913965,2007,CNU-B-LB-2006310,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Bellimordella,n. sp.,robusta,,,,,1010990,2008,CNU-C-LB2006204,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Tetraphalerus,n. sp.,curtinervis,,,,,1104604,2007,CNU-C-LB2006006,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Bilineariselater,n. sp.,foveatus,,,,,1179342,2008,CNU-C-LB2006801,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Anoixis,n. sp.,complanus,,,,,911085,2010,CNU-COL-LB2006863,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Priacma,n. sp.,clavata,,,,,1179740,2006,CNU-C-LB2006001,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Angulochterus,n. sp.,quatrimaculatus,,,,,959706,2011,CNU-HE-LB2006644,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Breviscutum,n. sp.,lunatum,,,,,1104608,2013,CNU-HE-LB2006007,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Collivetanthocoris,n. sp.,rapax,,,,,1033520,2006,CNU-HE-LB2006057,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Cilicydnus,n. sp.,robustispinus,,,,,1104613,2007,CNU-HE-LB2006297,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Eopelecinus,n. sp.,tumidus,,,,,968518,2011,CNU-HY-LB2006073,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Crassicerus,n. sp.,furtivus,,,,,1033524,2006,CNU-HE-LB2006032,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Brochocoleus,n. sp.,angustus,,,,,1180041,2007,CNU-C-LB2006009,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Paralithomerus,n. sp.,parallelus,,,,,1094244,2008,CNU-C-LB2006872,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Paradesmatus,n. sp.,dilatatus,,,,,911080,2010,CNU-COL-LB2006862,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Elisama,,extenuata,,,,,913964,1995,CH93305,tegmen,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Mirimordella,n. sp.,gracilicruralis,,,,,1109594,2007,CNU-C-LB2006201,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Bellimordella,n. sp.,longispina,,,,,1010989,2008,CNU-C-LB2006203,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Tetraphalerus,n. sp.,latus,,,,,1104603,2007,CNU-C-LB2006005,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Apoclion,n. sp.,antennatus,,,,,911084,2010,CNU-COL-LB2006841,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Mesolygaeus,,laiyangensis,,,,,1142996,1928,"22-25; Pl. III, figs. 3-6",exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Ashanga,,hongi,,,,,964429,2006,CNU-ORT-LB2005002,tegmen,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Primipentatoma,n. sp.,peregrina,,,,,1104607,2013,CNU-HE-LB2006001,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Shoushida,n. sp.,regilla,,,,,1179770,2009,CNU-HYM-LB2006074,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Vetanthocoris,,longispicus,,,,,1033519,2006,CNU-HE-LL2006001,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Cretonanophyes,n. sp.,punctatus,,,,,1010902,2007,CNU-C-LB2006103,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Eopelecinus,n. sp.,huangi,,,,,968517,2011,CNU-HY-LB2006049,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Curvicaudus,n. sp.,ciliatus,,,,,1033523,2006,CNU-HE-LB2006023,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Pustulithoracalis,n. sp.,gloriosus,,,,,1033526,2006,CNU-HE-LB2006034,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Paralithomerus,n. sp.,exquisitus,,,,,1094243,2008,CNU-C-LB2006874,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Bellimordella,n. sp.,capitulifera,,,,,1010988,2008,CNU-C-LB2006202,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Sinopelecinus,,viriosus,,,,,936594,2002,NIGP 134160,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Parahagla,,sibirica,,,,,964428,1968,PIN 1989/2550,forewing,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Megapelecinus,n. sp.,nashi,,,,,911112,2010,CNU-HY-LB2006040,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Vetanthocoris,n. sp.,decorus,,,,,1033518,2006,CNU-HE-LB2006058,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Propritergum,n. sp.,opimum,,,,,1142999,2014,CNU-HET-LB2006653,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Bellicoris,n. sp.,mirabilis,,,,,1179797,2008,CNU-HE-LB2006267,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Abrocar,n. sp.,macilentus,,,,,1010901,2007,CNU-C-LB2006102,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Luculentsalda,n. sp.,maculosa,,,,,1180010,2013,CNU-HET-LB2006648,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Pristinochterus,n. sp.,zhangi,,,,,1011054,2007,CNU-HE-LB2006301(302),exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Mecopodus,n. sp.,xanthos,,,,,1033522,2006,CNU-HE-LB2006031,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,,Brochocoleus,n. sp.,sulcatus,,,,,1180040,2007,CNU-C-LB2006011,exoskeleton,34971,Cretaceous 2,lacustrine - large
111710,M. Clapham,CC BY,n. gen.,Exilcrus,n. sp.,cameriferus,,,,,955092,2011,CNU-HE-LB2006678,exoskeleton,34971,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Liadytiscus,n. sp.,longitibialis,,,,,964705,2010,CNU-COL-LB2009026,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Alegorius,n. sp.,yixianus,,,,,1199203,2014,CNU 2009079,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Mesoderus,n. sp.,ventralis,,,,,964709,2010,CNU-COL-LB2009029,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Mesoderus,n. sp.,magnus,,,,,964708,2010,CNU-COL-LB2009033,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Exilcrus,,cameriferus,,,,,936586,2011,CNU-HE-LB2006678,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Hydroyixia,n. sp.,latissima,,,,,1199206,2014,CNU-COL-LB2009074,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Clavaticoris,n. sp.,zhengi,,,,,1181590,2012,CNU-HE-LB2009016,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Glaphyrus,n. sp.,ancestralis,,,,,935143,2011,CNU-COL-LB2009604,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Parahagla,,sibirica,,,,,964426,1968,PIN 1989/2550,forewing,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Cretoquedius,n. sp.,infractus,,,,,1088731,2012,CNU-COL-LB200951,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Liadytiscus,n. sp.,cretaceus,,,,,964704,2010,CNU-COL-LB2009028,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,n. gen.,Liadroporus,n. sp.,elegans,,,,,964707,2010,CNU-COL-LB2009030,exoskeleton,35905,Cretaceous 2,lacustrine - large
111712,M. Clapham,CC BY,,Hydroyixia,,elongata,,,,,1199205,2014,CNU 2010005,exoskeleton,35905,Cretaceous 2,lacustrine - large
