collection_no,collection.authorizer,license,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,type_specimen,type_body_part,collection.reference_no,10_my_bin
105966,M. Clapham,CC BY,,Mesogryllus,n. sp.,achelous,,Blattidium,n. sp.,achelous,NHM I.12302,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Agrilium,n. sp.,cyllarus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Pantodapus,,ewaldi,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Hydroporopsis,,neptuni,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Coleopteron,,beyrichi,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Lygaeites,n. sp.,priscus,?,Cimicidae,,indet.,,exoskeleton,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Lamiophanes,,schroeteri,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Cercopidium,n. sp.,schaefferi,,,,,,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Agrilium,n. sp.,strombus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Epomenus,n. sp.,rugosus,,Coleoptera,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,blissus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Osmylopsis,,duplicata,,Orthoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Metagrilium,n. sp.,westwoodi,,Carabidae,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Sialium,n. sp.,sipylus,,,,,NHM Pal.I.13951,hindwing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Helopium,n. sp.,agabus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Elaterium,n. sp.,pronaeus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Helopidium,,dunkeri,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Zygadenia,,tuberculata,,Curculionidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,valgus,,Buprestium,n. sp.,valgus,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,gigas,,Buprestium,aff.,stygnus,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Orthophlebia,n. sp.,pytho,,Phryganeidium,n. sp.,pytho,,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Semiglobus,,neptuni,?,Coccinellidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Helopidium,n. sp.,neoridas,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Amitchellia,n. sp.,brevis,,,,,BMNH I.12509,forewing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Agrilium,n. sp.,stomphax,,,,,,exoskeleton,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Pantodapus,,knorri,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Blattidium,n. sp.,nogaus,,,,,,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Diatarastus,,westwoodi,,Carabidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Rithma,n. sp.,purbeccensis,,Blattidae,,indet.,,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Prionophana,,antiqua,,Buprestidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Dimeropterum,n. sp.,westwoodi,?,Cimicidae,,indet.,,forewing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Cyllonium,n. sp.,hewitsonianum,,,,,,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Prophasis,,dubia,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Thiras,n. sp.,westwoodi,,Tipulidae,,indet.,,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,hylastes,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Mesoblattina,,exigua,,Orthoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Agrilium,n. sp.,cyllabacus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Myrmicium,n. sp.,heerii,,,,,BMNH I.3990,forewing,49700,Cretaceous 1
105966,M. Clapham,CC BY,?,Tentyridium,n. sp.,dilatatum,,Coleoptera,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Homopterulum,n. sp.,signoretii,,Cercopidium,n. sp.,signoretii,,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Bothroptera,,westwoodi,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Cercopidium,n. sp.,mimas,,,,,,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Halticophana,n. sp.,westwoodi,,Chrysomelidae,,indet.,,exoskeleton,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Agrionidium,n. sp.,aetna,,,,,NHM I.3958,tegmen,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Panorpidium,,westwoodi,?,Sialidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Paragrilium,n. sp.,barypus,,Elaterium,n. sp.,barypus,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,?,Helopidium,n. sp.,dubium,,Coleoptera,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Pterinoblattina,n. sp.,penna,,,,,NHM I 12324,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,blissus,,Buprestium,n. sp.,dardanus,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Homopteron,n. sp.,hahni,,Cercopidium,n. sp.,hahnii,,exoskeleton,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Pseudus,n. sp.,purbeccensis,,Coleoptera,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Parabuprestium,n. sp.,pseudocarabus,,Carabidae,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Micrelaterium,n. sp.,triopas,,Elaterium,n. sp.,triopas,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Semiglobus,n. sp.,jurassicus,?,Coccinellidae,,indet.,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Ctenicerium,n. sp.,stygnus,,Buprestium,n. sp.,stygnus,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Aporoblattina,n. sp.,westwoodi,,Phryganeidae,,indet.,,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,n. gen.,Carabidium,n. sp.,dejeanianum,,,,,,exoskeleton,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Blattidium,n. sp.,symyrus,,,,,,wing,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Mesoblattina,,symyrus,,Orthoptera,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Mesoblattina,,murchisoni,,Blattidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,?,Brodilka,,sp.,,,,,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Anacoloptera,,trigonalis,,Cimicidae,n. sp.,indet.,,,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Curculium,n. sp.,syrichthus,,,,,,elytra,49700,Cretaceous 1
105966,M. Clapham,CC BY,,Prophasis,,ignota,,Coleoptera,n. sp.,indet.,,,49700,Cretaceous 1
105968,M. Clapham,CC BY,,Cretodytes,n. sp.,incertus,,,,,PIN 4626/628,exoskeleton,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Archimesoblatta,n. sp.,kopi,,,,,PIN 4626/612,tegmen,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Rhipidoblattina,n. sp.,lacunata,,,,,PIN 4626/135,tegmen,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Blattula,n. sp.,discors,,,,,PIN 4626/149,tegmen,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Mastotermes,n. sp.,nepropadyom,,,,,PIN 4626/156,hindwing,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Itaphlebia,n. sp.,generosa,,,,,PIN 4626/173,forewing,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Baissoferus,n. sp.,sinitsae,,,,,PIN 4626/562,forewing,35206,Cretaceous 2
105968,M. Clapham,CC BY,?,Gomphaeschna,n. sp.,sibirica,,,,,PIN 4626/162,hindwing,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Mongolblatta,n. sp.,sanguinea,,,,,PIN 4626/154,tegmen,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Rhipidoblatta,n. sp.,grandis,,,,,PIN 4626/610,tegmen,35206,Cretaceous 2
105968,M. Clapham,CC BY,,Santonitermes,n. sp.,transbaikalicus,,,,,PIN 4626/157,forewing,35206,Cretaceous 2
105968,M. Clapham,CC BY,n. gen.,Prochita,n. sp.,rasnitsyni,,Dysoneuridae,,indet.,PIN 4626/179,forewing,35206,Cretaceous 2
105969,M. Clapham,CC BY,n. gen.,Baissalarva,n. sp.,hydrobioides,,,,,PIN 3064/6975,nymph,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Crepuraea,n. sp.,zherichini,,,,,PIN 3064/7190,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Siboptera,n. sp.,eurydictyon,,,,,PIN 3064/2340,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Nacholonda,n. sp.,crassicosta,,,,,PIN 3046/101,hindwing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Anthoxyela,n. sp.,baissensis,,,,,PIN 3064/634,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissoptera,,martinsoni,,,,,PIN 1668/1852,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Protanaides,n. sp.,sibiricus,,,,,PIN 3064/7148,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Alloraphidia,,asiatica,,,,,PIN 4210/2229,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Sinaldocader,n. sp.,ponomarenkoi,,,,,PIN 3064/5661,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Eodromeus,,dissectus,,,,,PIN 1989/2967,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Archisphex,n. sp.,incertus,n. gen.,Cretosphex,n. sp.,incertus,PIN 3064/626,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Ephemeropsis,,melanurus,,,,,,nymph,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Holcorobeus,n. sp.,vittatus,n. gen.,Holcorobeus,n. sp.,vittatus,PIN 3064/939,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissoptera,n. sp.,cellulosa,,,,,PIN 3064/2367,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cryptocoelus,n. sp.,lukashevichae,,,,,PIN 3064/7102,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Fusithrips,n. sp.,crassipes,,,,,PIN 3064/8547,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,?,Nemestrinus,n. sp.,incertus,,,,,PIN 3064/9929,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretoscarabaeus,,gibbosus,,,,,PIN 4210/708,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Protopelecinus,n. sp.,regularis,,,,,PIN 3064/2003,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Pararaphidia,,vitimica,,Alloraphidia,,vitimica,PIN 1668/1851,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Deinovitimia,n. sp.,insolita,,,,,PIN 3064/8454,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Oryctobaissodes,n. sp.,armatus,,,,,PIN 3064/637,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretinocellia,,cellulosa,,,,,PIN 3559/5953,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Baissophasma,n. sp.,pilosum,,,,,PIN 3064/8524,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Lithoscarabaeus,,baissensis,,Proteroscarabeus,,baissensis,PIN 1668/1830,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Cretonymphes,n. sp.,baisensis,,,,,PIN 3064/2439,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Paraspercheus,n. sp.,vitimensis,,,,,PIN 3064/1071,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Cretorabus,n. sp.,capitatus,,,,,PIN 3064/862,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Crepuraea,n. sp.,archaica,,,,,PIN 3064/7189,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretoraphidia,,sp.,,,,,,,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Crepuraea,n. sp.,zherichini,n. gen.,Nyujwa,n. sp.,zherichini,PIN 3064/888,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baisopardus,,banksianus,,,,,PIN 1989/51,hindwing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Tettaboilus,n. sp.,pulcher,,,,,PIN 3064/432,tegmen,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Archimesoblatta,,altera,,,,,,,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baisoraphidia,,spp.,,,,,,,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Cretocleistogaster,n. sp.,vitimica,,,,,PIN 3064/641,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretophasmomima,n. sp.,burjatica,,,,,PIN 3064/10621,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Vietocycla,n. sp.,peregrina,,,,,PIN 3064/4141,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Avitortor,n. sp.,leptoscelis,,Geotrupoides,n. sp.,leptoscelis,PIN 3064/936,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Baissatermes,n. sp.,lapideus,,,,,PIN 3064/8583,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,"""",Carabites,n. sp.,vitimensis,,,,,PIN 3064/871,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Avitortor,n. sp.,primitivus,,,,,PIN 3064/856,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissoptera,n. sp.,minima,,,,,PIN 3064/2364,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Pollostelater,n. sp.,baissensis,,,,,PIN 3064/7100,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Helophorus,n. sp.,palaeosibiricus,n. gen.,Mesohelophorus,n. sp.,sibiricus,PIN 3063/841,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Mesosciophilopsis,n. sp.,curtus,,,,,PIN 3064/9795,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Pararaphidia,,deserta,,Alloraphidia,,deserta,PIN 3559/2748,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Saurophthirus,n. sp.,longipes,,,,,PIN 3064/1898,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Eodromeus,n. sp.,major,,,,,PIN 3064/864,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Angarosphex,n. sp.,myrmicopterus,,,,,PIN 3064/629,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Archizelmira,n. sp.,baissa,,,,,PIN 3064/9039,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Coptoclava,,longipoda,,,,,Cat. No. 2145,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Pivus,n. sp.,sarus,,,,,PIN 3064/9740,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Holcorobeus,,picturatus,,Holcorobeus,,picturatus,PIN 1989/2994,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Lasiosyne,n. sp.,decora,,,,,PIN 3064/7445,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissoptera,n. sp.,sibirica,,,,,PIN 3064/2376,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissaeshna,n. sp.,zherikhini,,,,,PIN 3064/3146,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Convexithrips,,robustus,,,,,PIN 4210/2268,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Metabuprestium,,shartologoiense,,,,,PIN 4271/243,elytra,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Hemeroscopus,n. sp.,baissicus,,,,,PIN 3064/141,hindwing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Archeraphidia,n. sp.,baisensis,,,,,PIN 3064/2346,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Trichobaissodes,n. sp.,antennatus,,,,,PIN 3064/632,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Laetopsia,,baissensis,,Hydrophilopsia,,baissensis,PIN 3064/6985,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretoraphidia,n. sp.,reticulata,,,,,PIN 3064/953,forewing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissophasma,n. sp.,simile,,,,,PIN 3064/440,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Tachinymphes,n. sp.,ascalaphoides,,,,,PIN 3064/2445,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Ellia,n. sp.,colorissima,,,,,PIN 3064/9730,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Baissobittacus,,angustipennatus,,,,,PIN 3064/1026,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Eoptychoptera,n. sp.,cretacea,,Proptychoptera,n. sp.,cretacea,PIN 3064/1298,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretochaulus,,lacustris,,,,,PIN 1989/2917,nymph,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Cretorabus,n. sp.,latus,,,,,PIN 3064/852,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Oecanthoperla,n. sp.,sibirica,,,,,PIN 3064/8603,exoskeleton,37059,Cretaceous 3
105969,M. Clapham,CC BY,,Vitimopsyche,,torta,,,,,PIN 3064/2318,wing,37059,Cretaceous 3
105969,M. Clapham,CC BY,n. gen.,Cretobittacus,n. sp.,baisensis,,,,,PIN 3064/2317,hindwing,37059,Cretaceous 3
105970,M. Clapham,CC BY,,Karatavopsyllidium,n. sp.,auliense,,,,,PIN 2554/389,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Megura,n. sp.,magnifica,,,,,PIN 2554/1298,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Aboilus,n. sp.,aulietus,,,,,PIN 2554/236,forewing,31339,Jurassic 5
105970,M. Clapham,CC BY,,Asiodiplatys,,speciosus,,,,,PIN 2239/376,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Litholacon,n. sp.,derumpens,,,,,PIN 2554/699,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Hypnomorphus,,rohdendorfi,,,,,PIN 2384/457,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Prohylobittacus,,sorosi,,,,,PIN 2784/2219,forewing,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Probelus,n. sp.,curvispinus,n. gen.,Probelus,n. sp.,curvispinus,PIN 2554/709,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,?,Aneuretopsyche,n. sp.,minima,,,,,PIN 2554/1324,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Cleistogaster,n. sp.,oculata,,,,,PIN 2554/1278,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Hypnomorphus,n. sp.,imperspicuus,,,,,PIN 2554/678,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Karataoserphinus,n. sp.,minor,,,,,PIN 2554/1201,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Notocupes,,lapidarius,,,,,PIN 2384/404,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Codemus,,teres,,,,,PIN 2904/905,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Liassothrips,,crassipes,,,,,PIN 2452/572,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Globoides,n. sp.,microps,,,,,PIN 2554/661,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Protorabus,n. sp.,magnus,,,,,PIN 2554/447,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Protoscelis,,longicornis,,,,,PIN 2066/3241,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Microryssus,n. sp.,antennatus,,,,,PIN 2554/1304,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Oxycorynoides,n. sp.,similis,n. gen.,Oxycorynoides,n. sp.,similis,PIN 2554/713,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Turanoderma,,sepultum,,,,,PIN 2997/1705,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Praeaulacus,n. sp.,ventricosus,,,,,PIN 2554/1271,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Exedia,n. sp.,plana,,,,,PIN 2554/478,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Distenorrhinus,,elongatus,,Distenorrhinus,,elongatus,PIN 2997/4519,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Karadromeus,,latus,,,,,PIN 2384/567,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Mesoserphus,n. sp.,karatavicus,,,,,PIN 2554/1281,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Hypnomorphus,n. sp.,distinctus,,,,,PIN 2554/653,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Distenorrhinus,n. sp.,antennatus,,Distenorrhinus,n. sp.,antennatus,PIN 2554/721,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Blattogryllus,n. sp.,karatavicus,,,,,PIN 2554/225,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Brachycleistogaster,n. sp.,tredecatoma,,,,,PIN 2554/1292,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Paramesopsocus,,adibi,,,,,PIN 2784/2096,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Pseudocardiophorites,n. sp.,fragilis,,,,,PIN 2554/688,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Omma,,jurassicum,,,,,PIN 2339/805,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Codemus,,alatus,,,,,PIN 2066/2734,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Turanopteron,n. sp.,minor,,,,,PIN 2554/215,forewing,31339,Jurassic 5
105970,M. Clapham,CC BY,,Necromera,aff.,admiranda,,,,,CNU-COL-LB2008892,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Mesotachinus,,major,,,,,PIN 2384/417,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Hypnomorphus,,minutus,,,,,PIN 2239/1431,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Paracyrtophyllites,,undulatus,,,,,PIN 2239/414,forewing,31339,Jurassic 5
105970,M. Clapham,CC BY,,Aboilus,,tigris,,,,,PIN 2997/1772,tegmen,31339,Jurassic 5
105970,M. Clapham,CC BY,,Protoscelis,,jurassica,,,,,PIN 2239/1346,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Protorhagio,n. sp.,ruptus,,,,,PIN 2554/943,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Eoptychopterina,,karatavica,,,,,PIN 2066/1988,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Kalligrammina,n. sp.,areolata,,,,,PIN 2554/777,hindwing,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Aulacogastrinus,n. sp.,ater,n. gen.,Aulacogaster,n. sp.,ater,PIN 2554/1287,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Scelocamptus,n. sp.,tenuirostris,,,,,PIN 2554/732,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Cymatophlebiella,n. sp.,euryptera,,,,,PIN 2554/211,hindwing,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Parapamphilius,n. sp.,confusus,,,,,PIN 2554/1303,wing,31339,Jurassic 5
105970,M. Clapham,CC BY,,Bethylonymellus,n. sp.,oligocerus,,,,,PIN 2554/1270,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Xyphosternum,,minor,,,,,PIN 2239/919,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Necromera,n. sp.,inflata,n. gen.,Idiomerus,n. sp.,inflatus,PIN 2554/694,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Turanophlebia,n. sp.,martynovi,,,,,PIN 2554/210,hindwing,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Scaphocoris,n. sp.,notatus,,,,,PIN 2554/406,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Symphytopterus,,nigricornis,,,,,PIN 2239/2568,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Desmatus,n. sp.,affinis,,,,,PIN 2554/672,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,n. gen.,Karataogryllus,n. sp.,gryllotalpiformis,,,,,PIN 2554/283,forewing,31339,Jurassic 5
105970,M. Clapham,CC BY,,Lithomerus,,cockerelli,,,,,PIN 2384/454,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Proptychopterina,,gracilis,,,,,PIN 2239/1837,exoskeleton,31339,Jurassic 5
105970,M. Clapham,CC BY,,Abolescus,,glabratus,,,,,PIN 2239/1390,exoskeleton,31339,Jurassic 5
