"","specimen_no","occurrence_no","reference_no","specimen_id","sex","specimen_part","is_type","measurement_no","measurement_type","average"
"2328",19635,"913908",34959,"PIN 3474/3","NULL","forewing","holotype",37843,"width","10.7"
"2329",19635,"913908",34959,"PIN 3474/3","NULL","forewing","holotype",37844,"length","31.8"
"2330",19636,"913939",34960,"NIGP 150276","NULL","hindwing","holotype",37845,"length","4.6"
"2331",19637,"913939",34960,"NIGP 150276","NULL","tegmen","holotype",37846,"width","1.8"
"2332",19637,"913939",34960,"NIGP 150276","NULL","tegmen","holotype",37847,"length","5.3"
"2334",19639,"913940",34961,"NIGP 149229","NULL","forewing","NULL",37849,"width","11"
"2335",19639,"913940",34961,"NIGP 149229","NULL","forewing","NULL",37850,"length","30.5"
"2337",19642,"913942",34962,"CNU-H-NN2007005","NULL","hindwing","NULL",37854,"width","19"
"2338",19642,"913942",34962,"CNU-H-NN2007005","NULL","hindwing","NULL",37855,"length","31"
"2339",19643,"913943",34962,"CNU-H-NN2006031","NULL","hindwing","NULL",37856,"width","17"
"2340",19643,"913943",34962,"CNU-H-NN2006031","NULL","hindwing","NULL",37857,"length","26"
"2341",19645,"913943",34963,"NIGP 140538","NULL","hindwing","paratype",37860,"width","22"
"2342",19645,"913943",34963,"NIGP 140538","NULL","hindwing","paratype",37861,"length","30"
"2343",19647,"913946",34963,"NIGP 140541","NULL","forewing","NULL",37864,"width","18"
"2344",19647,"913946",34963,"NIGP 140541","NULL","forewing","NULL",37865,"length","51"
"2345",19648,"913947",34963,"NIGP 140543","NULL","forewing","NULL",37866,"width","20"
"2346",19648,"913947",34963,"NIGP 140543","NULL","forewing","NULL",37867,"length","46"
"2347",19649,"913947",34963,"NIGP 140545","NULL","forewing","NULL",37868,"width","19"
"2348",19649,"913947",34963,"NIGP 140545","NULL","forewing","NULL",37869,"length","45"
"2349",19650,"913947",34963,"NIGP 140546","NULL","forewing","NULL",37870,"width","21"
"2350",19650,"913947",34963,"NIGP 140546","NULL","forewing","NULL",37871,"length","41"
"2351",19654,"913951",34965,"NIGP NND04135","NULL","forewing","holotype",37878,"width","14.3"
"2352",19654,"913951",34965,"NIGP NND04135","NULL","forewing","holotype",37879,"length","33.8"
"2353",19655,"913951",34965,"NIGP NND04135","NULL","hindwing","holotype",37880,"width","13"
"2354",19655,"913951",34965,"NIGP NND04135","NULL","hindwing","holotype",37881,"length","21"
"2355",19659,"913955",34966,"NIGP 147862","NULL","forewing","NULL",37888,"width","29.3"
"2356",19659,"913955",34966,"NIGP 147862","NULL","forewing","NULL",37889,"length","61.1"
"2357",19660,"913955",34966,"NIGP 147863","NULL","forewing","NULL",37890,"width","32.5"
"2358",19660,"913955",34966,"NIGP 147863","NULL","forewing","NULL",37891,"length","57.1"
"2359",19661,"913955",34966,"NIGP 147864","NULL","forewing","NULL",37892,"width","29.5"
"2360",19661,"913955",34966,"NIGP 147864","NULL","forewing","NULL",37893,"length","53"
"2361",19662,"913955",34966,"NIGP 147865","NULL","forewing","NULL",37894,"width","24"
"2362",19662,"913955",34966,"NIGP 147865","NULL","forewing","NULL",37895,"length","53"
"2363",19663,"913955",34966,"NIGP 147866","NULL","forewing","NULL",37896,"length","56.8"
"2364",19664,"913955",34966,"NIGP 147867","NULL","forewing","NULL",37897,"length","57"
"2365",19665,"913942",34966,"NIGP 147868","NULL","forewing","NULL",37898,"width","23.5"
"2366",19665,"913942",34966,"NIGP 147868","NULL","forewing","NULL",37899,"length","51"
"2367",19666,"913942",34966,"NIGP 147869","NULL","forewing","NULL",37900,"width","24.5"
"2368",19666,"913942",34966,"NIGP 147869","NULL","forewing","NULL",37901,"length","50"
"2369",19667,"913942",34966,"NIGP 147870","NULL","forewing","NULL",37902,"width","23"
"2370",19667,"913942",34966,"NIGP 147870","NULL","forewing","NULL",37903,"length","42"
"2371",19668,"913942",34966,"NIGP 147871","NULL","forewing","NULL",37904,"width","19.4"
"2372",19668,"913942",34966,"NIGP 147871","NULL","forewing","NULL",37905,"length","42"
"2373",19669,"913942",34966,"NIGP 147872","NULL","forewing","NULL",37906,"width","24.2"
"2374",19669,"913942",34966,"NIGP 147872","NULL","forewing","NULL",37907,"length","48.5"
"2375",19670,"913942",34966,"NIGP 147873","NULL","forewing","NULL",37908,"width","24.1"
"2376",19670,"913942",34966,"NIGP 147873","NULL","forewing","NULL",37909,"length","47.1"
"2377",19671,"913942",34966,"NIGP 147874","NULL","forewing","NULL",37910,"width","23.8"
"2378",19671,"913942",34966,"NIGP 147874","NULL","forewing","NULL",37911,"length","50"
"2379",19672,"913942",34966,"NIGP 147875","NULL","forewing","NULL",37912,"width","23.2"
"2380",19672,"913942",34966,"NIGP 147875","NULL","forewing","NULL",37913,"length","46.4"
"2381",19673,"913942",34966,"NIGP 147876","NULL","forewing","NULL",37914,"width","25.4"
"2382",19673,"913942",34966,"NIGP 147876","NULL","forewing","NULL",37915,"length","43.5"
"2383",19674,"913942",34966,"NIGP 147877","NULL","forewing","NULL",37916,"width","23"
"2384",19674,"913942",34966,"NIGP 147877","NULL","forewing","NULL",37917,"length","47"
"2385",19675,"913942",34966,"NIGP 147878","NULL","forewing","NULL",37918,"width","24.8"
"2386",19675,"913942",34966,"NIGP 147878","NULL","forewing","NULL",37919,"length","46.1"
"2387",19676,"913942",34966,"NIGP 147879","NULL","forewing","NULL",37920,"width","24"
"2388",19676,"913942",34966,"NIGP 147879","NULL","forewing","NULL",37921,"length","50"
"2389",19677,"913942",34966,"NIGP 147880","NULL","forewing","NULL",37922,"width","21.5"
"2390",19677,"913942",34966,"NIGP 147880","NULL","forewing","NULL",37923,"length","42.9"
"2391",19678,"913942",34966,"NIGP 147868","NULL","hindwing","NULL",37924,"width","21"
"2392",19678,"913942",34966,"NIGP 147868","NULL","hindwing","NULL",37925,"length","32.5"
"2393",19679,"913942",34966,"NIGP 147869","NULL","hindwing","NULL",37926,"width","20.8"
"2394",19679,"913942",34966,"NIGP 147869","NULL","hindwing","NULL",37927,"length","32.6"
"2395",19680,"913942",34966,"NIGP 147870","NULL","hindwing","NULL",37928,"width","18"
"2396",19680,"913942",34966,"NIGP 147870","NULL","hindwing","NULL",37929,"length","26.8"
"2397",19681,"913942",34966,"NIGP 147871","NULL","hindwing","NULL",37930,"width","14"
"2398",19681,"913942",34966,"NIGP 147871","NULL","hindwing","NULL",37931,"length","25"
"2399",19682,"913942",34966,"NIGP 147872","NULL","hindwing","NULL",37932,"width","19.2"
"2400",19682,"913942",34966,"NIGP 147872","NULL","hindwing","NULL",37933,"length","33"
"2401",19683,"913942",34966,"NIGP 147873","NULL","hindwing","NULL",37934,"width","18"
"2402",19683,"913942",34966,"NIGP 147873","NULL","hindwing","NULL",37935,"length","29"
"2403",19684,"913942",34966,"NIGP 147874","NULL","hindwing","NULL",37936,"width","22.2"
"2404",19684,"913942",34966,"NIGP 147874","NULL","hindwing","NULL",37937,"length","34.9"
"2405",19685,"913942",34966,"NIGP 147881","NULL","hindwing","NULL",37938,"width","19.2"
"2406",19685,"913942",34966,"NIGP 147881","NULL","hindwing","NULL",37939,"length","25.1"
"2407",19686,"913942",34966,"NIGP 147882","NULL","hindwing","NULL",37940,"width","18.1"
"2408",19686,"913942",34966,"NIGP 147882","NULL","hindwing","NULL",37941,"length","29.2"
"2409",19687,"913942",34966,"NIGP 147883","NULL","hindwing","NULL",37942,"width","16"
"2410",19687,"913942",34966,"NIGP 147883","NULL","hindwing","NULL",37943,"length","24"
"2411",19688,"913942",34966,"NIGP 147884","NULL","hindwing","NULL",37944,"width","22"
"2412",19688,"913942",34966,"NIGP 147884","NULL","hindwing","NULL",37945,"length","33"
"2413",19689,"913942",34966,"NIGP 147885","NULL","hindwing","NULL",37946,"width","21.8"
"2414",19689,"913942",34966,"NIGP 147885","NULL","hindwing","NULL",37947,"length","34.1"
"2415",19690,"913942",34966,"NIGP 147886","NULL","hindwing","NULL",37948,"width","22"
"2416",19690,"913942",34966,"NIGP 147886","NULL","hindwing","NULL",37949,"length","34.7"
"2417",19691,"913942",34966,"NIGP 147887","NULL","hindwing","NULL",37950,"width","25"
"2418",19691,"913942",34966,"NIGP 147887","NULL","hindwing","NULL",37951,"length","34"
"2419",19692,"913942",34966,"NIGP 147888","NULL","hindwing","NULL",37952,"width","17.2"
"2420",19692,"913942",34966,"NIGP 147888","NULL","hindwing","NULL",37953,"length","25.1"
"2421",19693,"913942",34966,"NIGP 147889","NULL","hindwing","NULL",37954,"width","21.7"
"2422",19693,"913942",34966,"NIGP 147889","NULL","hindwing","NULL",37955,"length","31.9"
"2423",19694,"913942",34966,"NIGP 147890","NULL","hindwing","NULL",37956,"width","24"
"2424",19694,"913942",34966,"NIGP 147890","NULL","hindwing","NULL",37957,"length","34"
"2425",19695,"913942",34966,"NIGP 147891","NULL","hindwing","NULL",37958,"width","24"
"2426",19695,"913942",34966,"NIGP 147891","NULL","hindwing","NULL",37959,"length","34.7"
"2427",19697,"913957",34966,"NIGP 147893","NULL","forewing","paratype",37962,"width","15.6"
"2428",19697,"913957",34966,"NIGP 147893","NULL","forewing","paratype",37963,"length","34.7"
"2429",19698,"913957",34966,"NIGP 147894","NULL","forewing","paratype",37964,"width","16.5"
"2430",19698,"913957",34966,"NIGP 147894","NULL","forewing","paratype",37965,"length","33.2"
"2431",19699,"913957",34966,"NIGP 147895","NULL","forewing","paratype",37966,"width","16.8"
"2432",19699,"913957",34966,"NIGP 147895","NULL","forewing","paratype",37967,"length","32.7"
"2433",19700,"913958",34966,"NIGP 147896","NULL","forewing","holotype",37968,"width","20.1"
"2434",19700,"913958",34966,"NIGP 147896","NULL","forewing","holotype",37969,"length","36.7"
"2435",19701,"913958",34966,"NIGP 147896","NULL","hindwing","holotype",37970,"width","15"
"2436",19701,"913958",34966,"NIGP 147896","NULL","hindwing","holotype",37971,"length","22"
"2437",19702,"913959",34968,"CNU-H-NN2007001","NULL","forewing","holotype",37972,"width","27"
"2438",19702,"913959",34968,"CNU-H-NN2007001","NULL","forewing","holotype",37973,"length","56"
"2439",19703,"913959",34968,"CNU-H-NN2007001","NULL","hindwing","holotype",37974,"width","25"
"2440",19703,"913959",34968,"CNU-H-NN2007001","NULL","hindwing","holotype",37975,"length","35"
"2441",19704,"913943",34969,"NIGP 149408","NULL","forewing","NULL",37976,"width","16"
"2442",19704,"913943",34969,"NIGP 149408","NULL","forewing","NULL",37977,"length","35"
"2443",19705,"913960",34969,"NIGP 149409","NULL","forewing","holotype",37978,"width","13.4"
"2444",19705,"913960",34969,"NIGP 149409","NULL","forewing","holotype",37979,"length","32.8"
"2445",19706,"913960",34969,"NIGP 149409","NULL","hindwing","holotype",37980,"width","12.8"
"2446",19706,"913960",34969,"NIGP 149409","NULL","hindwing","holotype",37981,"length","20.9"
"2447",19707,"913961",34970,"CNU-H-NN2006005","NULL","forewing","holotype",37982,"width","23"
"2448",19707,"913961",34970,"CNU-H-NN2006005","NULL","forewing","holotype",37983,"length","48"
"2449",19708,"913961",34970,"CNU-H-NN2006005","NULL","hindwing","holotype",37984,"width","16"
"2450",19708,"913961",34970,"CNU-H-NN2006005","NULL","hindwing","holotype",37985,"length","30"
"2453",19712,"913964",34972,"CNU-B-LB-2006342","NULL","forewing","paratype",37992,"width","2.9"
"2454",19712,"913964",34972,"CNU-B-LB-2006342","NULL","forewing","paratype",37993,"length","9.4"
"2457",19714,"913964",34972,"CNU-B-LB-200653","NULL","forewing","paratype",37996,"width","2.5"
"2458",19714,"913964",34972,"CNU-B-LB-200653","NULL","forewing","paratype",37997,"length","7.5"
"2459",19715,"913965",34972,"CNU-B-LB-2006310","NULL","forewing","holotype",37998,"width","3.2"
"2460",19715,"913965",34972,"CNU-B-LB-2006310","NULL","forewing","holotype",37999,"length","11"
"2461",19716,"913965",34972,"CNU-B-LB-2006310","NULL","hindwing","holotype",38000,"length","10"
"2462",19717,"913966",34972,"CNU-B-LB-2006379","NULL","forewing","holotype",38001,"width","3.5"
"2463",19717,"913966",34972,"CNU-B-LB-2006379","NULL","forewing","holotype",38002,"length","11"
"2464",19718,"913966",34972,"CNU-B-LB-2006379","NULL","hindwing","holotype",38003,"length","10.5"
"2465",19721,"913969",34974,"NIGP 149549","NULL","tegmen","holotype",38008,"width","7.1"
"2466",19721,"913969",34974,"NIGP 149549","NULL","tegmen","holotype",38009,"length","20.5"
"2467",19722,"913969",34974,"NIGP 149550","NULL","tegmen","paratype",38010,"width","6.8"
"2468",19722,"913969",34974,"NIGP 149550","NULL","tegmen","paratype",38011,"length","20.1"
"2470",19724,"913969",34974,"NIGP 149551","NULL","tegmen","paratype",38013,"length","20.8"
"2472",19726,"913969",34974,"NIGP 149552","NULL","tegmen","paratype",38015,"width","7.2"
"2473",19726,"913969",34974,"NIGP 149552","NULL","tegmen","paratype",38016,"length","22"
"2474",19727,"913969",34974,"NIGP 149553","NULL","tegmen","paratype",38017,"width","6.7"
"2475",19727,"913969",34974,"NIGP 149553","NULL","tegmen","paratype",38018,"length","18.9"
"2476",19728,"913969",34974,"NIGP 149554","NULL","tegmen","paratype",38019,"width","6.4"
"2477",19728,"913969",34974,"NIGP 149554","NULL","tegmen","paratype",38020,"length","19.4"
"2479",19730,"913969",34974,"NIGP 149555","NULL","tegmen","paratype",38022,"width","7.8"
"2480",19730,"913969",34974,"NIGP 149555","NULL","tegmen","paratype",38023,"length","22"
"2481",19731,"913970",34975,"NIGP 149372","NULL","forewing","holotype",38024,"width","10.8"
"2482",19731,"913970",34975,"NIGP 149372","NULL","forewing","holotype",38025,"length","29.4"
"2484",19733,"913970",34975,"NIGP 149373","NULL","forewing","paratype",38027,"width","12"
"2485",19733,"913970",34975,"NIGP 149373","NULL","forewing","paratype",38028,"length","35"
"2487",19735,"913970",34975,"NIGP 149374","NULL","forewing","paratype",38030,"width","11.8"
"2488",19735,"913970",34975,"NIGP 149374","NULL","forewing","paratype",38031,"length","34.1"
"2490",19737,"913970",34975,"NIGP 149375","NULL","forewing","paratype",38033,"width","12.6"
"2491",19737,"913970",34975,"NIGP 149375","NULL","forewing","paratype",38034,"length","35"
"2493",19739,"913971",34975,"NIGP 149378","NULL","forewing","paratype",38036,"width","6.1"
"2494",19739,"913971",34975,"NIGP 149378","NULL","forewing","paratype",38037,"length","18.2"
"2495",19740,"913971",34975,"NIGP 149405","NULL","forewing","paratype",38038,"width","6.3"
"2496",19740,"913971",34975,"NIGP 149405","NULL","forewing","paratype",38039,"length","18.7"
"2497",19741,"913971",34975,"NIGP 149376","NULL","forewing","holotype",38040,"width","4.7"
"2498",19741,"913971",34975,"NIGP 149376","NULL","forewing","holotype",38041,"length","15.4"
"2500",19744,"913944",34976,"CNU-H-NN2006093","NULL","forewing","holotype",38045,"width","18"
"2501",19744,"913944",34976,"CNU-H-NN2006093","NULL","forewing","holotype",38046,"length","41"
"2502",19745,"913944",34976,"CNU-H-NN2006093","NULL","hindwing","holotype",38047,"width","16"
"2503",19745,"913944",34976,"CNU-H-NN2006093","NULL","hindwing","holotype",38048,"length","24"
"2506",19748,"913974",34976,"CNU-H-NN2006095","NULL","forewing","holotype",38053,"width","16"
"2507",19748,"913974",34976,"CNU-H-NN2006095","NULL","forewing","holotype",38054,"length","36"
"2508",19749,"913974",34976,"CNU-H-NN2006095","NULL","hindwing","holotype",38055,"width","14"
"2509",19749,"913974",34976,"CNU-H-NN2006095","NULL","hindwing","holotype",38056,"length","20"
"2512",19754,"913976",34978,"PIN 3364/2216","NULL","forewing","holotype",38065,"width","2.6"
"2513",19754,"913976",34978,"PIN 3364/2216","NULL","forewing","holotype",38066,"length","9"
"2514",19755,"913976",34978,"PIN 3364/2201","NULL","forewing","NULL",38067,"length","8"
"2516",19757,"913976",34978,"PIN 3364/2220","NULL","hindwing","NULL",38069,"length","9"
"2517",19758,"913977",34978,"PIN 3790/6","NULL","forewing","holotype",38070,"width","4.1"
"2518",19758,"913977",34978,"PIN 3790/6","NULL","forewing","holotype",38071,"length","12.1"
"2521",19760,"913978",34978,"PIN 3559/8013","NULL","forewing","NULL",38074,"length","50"
"2522",19761,"914081",34980,"Holotype","NULL","wing","holotype",38075,"width","3.4"
"2523",19761,"914081",34980,"Holotype","NULL","wing","holotype",38076,"length","5"
"2525",19763,"914082",34980,"Holotype","NULL","forewing","holotype",38078,"length","18"
"2527",19763,"914082",34980,"Holotype","NULL","forewing","holotype",38080,"width","5"
"2528",19765,"914334",34981,"BP/2/26953","NULL","forewing","holotype",38081,"length","3.3"
"2530",19768,"914688",34990,"NIGP 151375","NULL","forewing","holotype",38085,"width","7.8"
"2531",19768,"914688",34990,"NIGP 151375","NULL","forewing","holotype",38086,"length","30.7"
"2532",19769,"914688",34990,"NIGP 151375","NULL","hindwing","holotype",38087,"width","10.5"
"2533",19769,"914688",34990,"NIGP 151375","NULL","hindwing","holotype",38088,"length","32"
"2536",19771,"914689",35008,"MNEMG 2003.28","NULL","tegmen","holotype",38091,"width","1.8"
"2537",19771,"914689",35008,"MNEMG 2003.28","NULL","tegmen","holotype",38092,"length","7.5"
"2538",19772,"697326",25290,"BMNH In 64632","NULL","forewing","holotype",38093,"width","10"
"2539",19772,"697326",25290,"BMNH In 64632","NULL","forewing","holotype",38094,"length","44"
"2540",19773,"914970",35008,"MNEMG 2003.27","NULL","tegmen","holotype",38095,"width","3.5"
"2541",19773,"914970",35008,"MNEMG 2003.27","NULL","tegmen","holotype",38096,"length","15.5"
"2542",19774,"914972",35008,"MNEMG 2003.30","NULL","tegmen","holotype",38097,"width","2.3"
"2543",19774,"914972",35008,"MNEMG 2003.30","NULL","tegmen","holotype",38098,"length","9"
"2544",19775,"914973",35008,"MNEMG 2003.32","NULL","tegmen","NULL",38099,"length","24"
"2545",19776,"914974",35008,"MNEMG 2003.33","NULL","tegmen","holotype",38100,"length","23"
"2546",19777,"915312",35008,"BMB 016391/-2","NULL","tegmen","holotype",38101,"width","3.75"
"2547",19777,"915312",35008,"BMB 016391/-2","NULL","tegmen","holotype",38102,"length","16.5"
"2548",19778,"914971",35008,"MNEMG 2003.39","NULL","tegmen","holotype",38103,"length","10.5"
"2549",19779,"915306",35008,"MNEMG 2003.40","NULL","tegmen","holotype",38104,"width","13"
"2550",19779,"915306",35008,"MNEMG 2003.40","NULL","tegmen","holotype",38105,"length","45"
"2551",19781,"914964",35008,"MNEMG 2003.41","NULL","tegmen","holotype",38108,"length","22.5"
"2552",19782,"914955",35008,"BMB 018644","NULL","tegmen","holotype",38109,"width","18.3"
"2553",19782,"914955",35008,"BMB 018644","NULL","tegmen","holotype",38110,"length","75"
"2554",19783,"914975",35008,"MNEMG 2003.42","NULL","tegmen","holotype",38111,"width","8.7"
"2555",19783,"914975",35008,"MNEMG 2003.42","NULL","tegmen","holotype",38112,"length","39"
"2556",19784,"914956",35008,"MNEMG 2003.43","NULL","tegmen","holotype",38113,"length","20"
"2557",19787,"914976",35008,"MNEMG 2003.44","NULL","tegmen","holotype",38117,"width","13.1"
"2558",19787,"914976",35008,"MNEMG 2003.44","NULL","tegmen","holotype",38118,"length","55"
"2559",19788,"914957",35008,"BMB 018615/-6","NULL","tegmen","holotype",38119,"width","10"
"2560",19788,"914957",35008,"BMB 018615/-6","NULL","tegmen","holotype",38120,"length","20"
"2561",19789,"915313",35008,"BMB 025003/-4","NULL","tegmen","holotype",38121,"length","16.5"
"2562",19790,"914958",35008,"BMB 018621/-2","NULL","tegmen","holotype",38122,"length","12.5"
"2563",19791,"914959",35008,"MNEMG 2003.46","NULL","tegmen","holotype",38123,"width","6.8"
"2564",19791,"914959",35008,"MNEMG 2003.46","NULL","tegmen","holotype",38124,"length","16"
"2565",19792,"914960",35008,"BMB 018633/-4","NULL","tegmen","holotype",38125,"length","12"
"2566",19793,"915315",35008,"MNEMG 2003.47","NULL","tegmen","holotype",38126,"length","13.5"
"2567",19794,"914977",35008,"MNEMG 2003.48","NULL","tegmen","holotype",38127,"length","8"
"2568",19795,"914966",35008,"MNEMG 2003.49","NULL","tegmen","holotype",38128,"length","8.5"
"2569",19796,"914967",35008,"MNEMG 2003.50","NULL","tegmen","holotype",38129,"length","11"
"2570",19797,"914968",35008,"MNEMG 2003.51","NULL","tegmen","holotype",38130,"width","5.1"
"2571",19797,"914968",35008,"MNEMG 2003.51","NULL","tegmen","holotype",38131,"length","11"
"2572",19798,"914961",35008,"BMB 018628/-9","NULL","tegmen","holotype",38132,"length","19.5"
"2573",19799,"915317",35008,"MNEMG 2003.52","NULL","tegmen","holotype",38133,"width","1.8"
"2574",19799,"915317",35008,"MNEMG 2003.52","NULL","tegmen","holotype",38134,"length","5.3"
"2575",19800,"915311",35008,"Sedgwick Museum 36","NULL","tegmen","holotype",38135,"width","2.9"
"2576",19800,"915311",35008,"Sedgwick Museum 36","NULL","tegmen","holotype",38136,"length","16"
"2577",19801,"914969",35008,"MNEMG 2003.53","NULL","tegmen","holotype",38137,"width","3"
"2578",19801,"914969",35008,"MNEMG 2003.53","NULL","tegmen","holotype",38138,"length","18"
"2579",19802,"915318",35008,"MNEMG 2003.54","NULL","tegmen","holotype",38139,"length","10"
"2580",19803,"914978",35008,"MNEMG 2003.55","NULL","tegmen","holotype",38140,"width","2.3"
"2581",19803,"914978",35008,"MNEMG 2003.55","NULL","tegmen","holotype",38141,"length","14"
"2582",19804,"914962",35008,"BMB 018604/-5","NULL","tegmen","holotype",38142,"length","17"
"2583",19805,"915316",35008,"MNEMG 1996.304","NULL","tegmen","holotype",38143,"length","18.5"
"2584",19805,"915316",35008,"MNEMG 1996.304","NULL","tegmen","holotype",38144,"width","2.9"
"2585",19806,"915319",35008,"MNEMG 2003.56","NULL","tegmen","holotype",38145,"width","2.6"
"2586",19806,"915319",35008,"MNEMG 2003.56","NULL","tegmen","holotype",38146,"length","13.75"
"2588",19811,"784117",34911,"HU 38335","NULL","elytron","holotype",38154,"length","4"
"2589",19812,"915406",35032,"MCM LH 78","NULL","elytron","holotype",38155,"length","12.7"
"2592",19814,"915413",35032,"DEPGM LP 0058","NULL","elytron","holotype",38158,"length","3.8"
"2595",19816,"915414",35032,"IEI LP 0164G","NULL","elytron","holotype",38161,"length","13"
"2598",19818,"915416",35032,"IEI LC 4636","NULL","elytron","holotype",38164,"length","4"
"2601",19820,"915407",35032,"MCCM LH 1805","NULL","elytron","holotype",38167,"length","5.3"
"2604",19822,"915417",35032,"IEI LC 3675","NULL","elytron","holotype",38170,"length","6.7"
"2607",19824,"915408",35032,"MCCM LH 12001","NULL","elytron","holotype",38173,"length","18.2"
"2610",19826,"915408",35032,"MCCM LH 23851","NULL","elytron","paratype",38176,"length","17.9"
"2613",19828,"915418",35032,"IEI LC 2663","NULL","elytron","holotype",38179,"length","12.7"
"2616",19830,"915410",35032,"MCCM LH 23515","NULL","elytron","holotype",38182,"length","10.9"
"2619",19832,"915411",35032,"MCCM LH 24524","NULL","elytron","holotype",38185,"length","5.3"
"2622",19834,"915412",35032,"MCCM LH 15122","NULL","elytron","holotype",38188,"length","4.6"
"2625",19836,"915415",35032,"IEI LP 97G","NULL","elytron","holotype",38191,"length","4.8"
"2627",19838,"915410",35032,"MCCM LH 21291","NULL","elytron","paratype",38193,"length","10.1"
"2630",19840,"915421",35034,"OSU B-D-68","NULL","forewing","holotype",38196,"length","3.2"
"2632",19842,"915423",35035,"PIN 3152/2121","NULL","forewing","NULL",38198,"width","6"
"2633",19842,"915423",35035,"PIN 3152/2121","NULL","forewing","NULL",38199,"length","31"
"2634",19843,"915423",35035,"PIN 3152/142","NULL","hindwing","NULL",38200,"width","9"
"2635",19844,"915422",35035,"PIN 3152/2124","NULL","hindwing","NULL",38201,"width","15"
"2636",19844,"915422",35035,"PIN 3152/2124","NULL","hindwing","NULL",38202,"length","39"
"2637",19845,"915422",35035,"PIN 3152/2118","NULL","forewing","NULL",38203,"width","11"
"2638",19845,"915422",35035,"PIN 3152/2118","NULL","forewing","NULL",38204,"length","42"
"2640",19847,"915425",35036,"LD 1127","NULL","forewing","holotype",38206,"width","1.73"
"2641",19847,"915425",35036,"LD 1127","NULL","forewing","holotype",38207,"length","3.68"
"2642",19848,"915428",34990,"BMB 0186-49-50","NULL","forewing","holotype",38208,"width","5.17"
"2643",19848,"915428",34990,"BMB 0186-49-50","NULL","forewing","holotype",38209,"length","20.8"
"2644",19849,"915429",35038,"PIN 199/172","NULL","forewing","holotype",38210,"length","14"
"2645",19850,"915430",35038,"PIN 199/232","NULL","forewing","holotype",38211,"length","19"
"2646",19851,"915431",35038,"PIN 199/139","NULL","forewing","holotype",38212,"length","20"
"2647",19852,"915432",35038,"PIN 199/171","NULL","forewing","holotype",38213,"length","25"
"2648",19853,"915433",35038,"PIN 199/261","NULL","forewing","paratype",38214,"length","20"
"2649",19854,"915434",35038,"PIN 199/156","NULL","forewing","holotype",38215,"length","22.5"
"2650",19855,"915433",35038,"PIN 199/145","NULL","forewing","holotype",38216,"length","25"
"2653",19857,"915494",35040,"RGMN-501","NULL","forewing","holotype",38219,"width","13"
"2654",19857,"915494",35040,"RGMN-501","NULL","forewing","holotype",38220,"length","32"
"2659",19862,"915506",33331,"PIN 100/19","NULL","forewing","holotype",38226,"length","60"
"2660",19863,"915505",33331,"PIN 199/1","NULL","forewing","NULL",38228,"width","12.2"
"2661",19862,"915506",33331,"PIN 100/19","NULL","forewing","holotype",38229,"width","13.9"
"2662",19864,"915507",33331,"PIN 1197/318","NULL","forewing","holotype",38230,"width","4.7"
"2663",19864,"915507",33331,"PIN 1197/318","NULL","forewing","holotype",38231,"length","11"
"2664",19865,"915508",33331,"PIN 4887/28","NULL","forewing","holotype",38232,"width","4"
"2665",19865,"915508",33331,"PIN 4887/28","NULL","forewing","holotype",38233,"length","10"
"2666",19866,"915511",34929,"PIN 117/2488","NULL","forewing","holotype",38234,"length","25"
"2667",19867,"915512",34929,"PIN 117/144","NULL","forewing","holotype",38235,"width","6"
"2668",19867,"915512",34929,"PIN 117/144","NULL","forewing","holotype",38236,"length","18.5"
"2669",19868,"915512",34929,"PIN 117/975","NULL","forewing","paratype",38237,"width","6"
"2670",19868,"915512",34929,"PIN 117/975","NULL","forewing","paratype",38238,"length","22"
"2671",19869,"915513",34929,"PIN 117/86","NULL","forewing","holotype",38239,"length","14"
"2672",19870,"915513",34929,"PIN 117/86","NULL","hindwing","holotype",38240,"length","12"
"2673",19871,"915513",34929,"PIN 94/131","NULL","forewing","paratype",38241,"length","16"
"2674",19872,"915513",34929,"PIN 94/338","NULL","forewing","paratype",38242,"length","18"
"2675",19873,"915514",34929,"PIN 199/307","NULL","forewing","holotype",38243,"length","21"
"2676",19874,"915515",34929,"PIN 3700/51","NULL","forewing","holotype",38244,"length","60"
"2677",19875,"915516",35045,"CNU-HE-NN2006007","NULL","hemelytron","holotype",38245,"width","1.9"
"2678",19875,"915516",35045,"CNU-HE-NN2006007","NULL","hemelytron","holotype",38246,"length","4.89"
"2681",19877,"915516",35045,"CNU-HE-NN2006008","NULL","hemelytron","paratype",38249,"width","1.9"
"2682",19877,"915516",35045,"CNU-HE-NN2006008","NULL","hemelytron","paratype",38250,"length","5.9"
"2689",19881,"915518",35045,"CNU-HE-NN2006031","NULL","hemelytron","holotype",38257,"width","2.33"
"2690",19881,"915518",35045,"CNU-HE-NN2006031","NULL","hemelytron","holotype",38258,"length","6.67"
"2693",19883,"915519",35047,"CNU-HE-NN2006002","NULL","hemelytron","holotype",38261,"width","2.4"
"2694",19883,"915519",35047,"CNU-HE-NN2006002","NULL","hemelytron","holotype",38262,"length","7.1"
"2697",19885,"915519",35047,"CNU-HE-NN2006023","NULL","hemelytron","paratype",38265,"width","2.3"
"2698",19885,"915519",35047,"CNU-HE-NN2006023","NULL","hemelytron","paratype",38266,"length","7.8"
"2701",19887,"915520",35047,"CNU-HE-NN2006003","NULL","hemelytron","holotype",38269,"width","2.63"
